Date,BRK-A,WMT,PG,HD,COST,HON
3/1/2020,272000,113.620003,110,186.710007,285.130005,133.789993
4/1/2020,281700,121.550003,117.870003,219.830002,303,141.899994
5/1/2020,278640,124.059998,115.919998,248.479996,308.470001,145.850006
6/1/2020,267300,119.779999,119.57,250.509995,303.209991,144.589996
7/1/2020,293631,129.399994,131.119995,265.48999,325.529999,149.369995
8/1/2020,327560,138.850006,138.330002,285.040009,347.660004,165.550003
9/1/2020,320001,139.910004,138.990005,277.709991,355,164.610001
10/1/2020,302500,138.75,137.100006,266.709991,357.619995,164.949997
11/1/2020,343688,152.789993,138.869995,277.410004,391.769989,203.919998
12/1/2020,347815,144.149994,139.139999,265.619995,376.779999,212.699997
1/1/2021,344100,140.490005,128.210007,270.820007,352.429993,195.369995
